Name,Company,Company ID,Offer URL,Region,Categories,Opening Date,Closing Date,Stage,Rolling,Needs CV,Needs Cover Letter,Company Description,Notes
Quantitative Trading Analyst Intern,DRW,drw,https://job-boards.greenhouse.io/drweng?keyword=intern&departments%5B%5D=74801&departments%5B%5D=28399&utm_source=Trackr&utm_medium=tracker&utm_campaign=Hong_Kong_Finance_2027&gh_src=Trackr&offices%5B%5D=17433,Hong Kong,Trading and Quant,2026-07-13,,Unknown,False,True,False,"DRW is a diversified proprietary trading firm headquartered in Chicago, operating at the intersection of trading, technology, and quantitative research. Founded in 1992, the firm trades across asset classes including fixed income, FX, equities, and digital assets, using both systematic and discretionary strategies. DRW also invests in financial market infrastructure and early-stage technologies through its venture arm. Known for its data-centric and collaborative culture, DRW has built a strong global presence in high-frequency and options trading.",Based in Singapore
Intern - Quantitative Researcher,Aqumon,aqumon,https://www.aqumon.com/en/about/job/quantitative-researcher/?utm_source=Trackr&utm_medium=tracker&utm_campaign=Hong_Kong_Finance_2027,Hong Kong,Trading and Quant,2026-07-16,,Unknown,False,True,False,"Aqumon is a financial technology company that provides automated investment services through its proprietary robo-advisory platform. Founded in 2016 and headquartered in Hong Kong, the firm utilizes quantitative algorithms and big data analytics to offer personalized asset allocation strategies for individual and institutional investors. Aqumon focuses on lowering the barriers to entry for professional wealth management by providing low-cost, data-driven portfolio construction. The company serves clients across the Asia Pacific region and aims to make sophisticated investment management accessible through its digital interface.",
Summer 2027 Analyst Programme,Bank of America,bank-of-america,https://bankcampuscareers.tal.net/vx/lang-en-GB/mobile-0/brand-4/xf-8258fbc45b95/candidate/jobboard/vacancy/1/adv/?f_Item_Opportunity_17059_lk=511387&f_Item_Opportunity_60426_lk=520149&f_Item_Opportunity_60427_lk=520150&utm_source=Trackr&utm_medium=tracker&utm_campaign=Hong_Kong_Finance_2027,Hong Kong,Bulge Bracket,2026-07-01,2026-09-30,Unknown,False,True,False,"Bank of America is one of the largest financial institutions in the world, offering banking, investment, and wealth management services to individuals, businesses, and governments. Headquartered in Charlotte, North Carolina, the bank operates across more than 35 countries and serves tens of millions of clients globally. It has a significant presence in consumer banking, corporate and investment banking, and asset management through its Merrill and Private Bank brands. Bank of America plays a central role in US capital markets and is consistently ranked among the world’s systemically important financial institutions.",
Quantitative Research Analyst Intern,Citadel,citadel,"https://www.citadel.com/careers/open-opportunities?experience-filter=internships&sections-filter=investing,quantitative-research&location-filter=hong-kong&selected-job-sections=388,389,387,390&current_page=1&sort_order=DESC&per_page=10&action=careers_listing_filter",Hong Kong,Buy-Side,2026-05-22,,Unknown,False,False,False,"Citadel is a global financial institution operating one of the world’s largest and most successful hedge funds, alongside a leading market-making business through Citadel Securities. Founded in 1990 by Kenneth Griffin and headquartered in Miami, the firm manages capital across equities, credit, commodities, and global macro strategies. Citadel is known for its research-intensive, data-driven approach and emphasis on risk management. It attracts top talent in quantitative research, software engineering, and investment analysis across its global offices.",
2027 Summer Analyst Program,Jefferies,jefferies,https://jefferies.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-4/user-415213/xf-dbbdc2f262e6/candidate/so/pm/1/pl/2/opp/1814-2027-Summer-Analyst-Program-Investment-Banking-Hong-Kong/en-GB?utm_source=Trackr&utm_medium=tracker&utm_campaign=HK_Finance_2027,Hong Kong,Middle Market,2026-06-17,,Unknown,True,True,True,"Jefferies is a global investment banking and capital markets firm headquartered in New York, offering services in M&A advisory, equity and debt underwriting, research, and trading. The firm is known for its focus on the mid to upper mid-market, serving corporate clients, financial sponsors, and institutional investors across a wide range of industries. Jefferies operates with a full-service model that includes strong sector coverage, global distribution, and a growing footprint in Europe and Asia. It is particularly active in healthcare, industrials, TMT, and consumer, and is regarded as one of the top independent investment banks outside the bulge bracket. Jefferies has also expanded into asset and wealth management, and its flexible, entrepreneurial culture allows it to move quickly in competitive deal environments. With a reputation for high-touch client service and deal execution, it remains a go-to firm for high-growth companies and active sponsors.",
Millennium Investment Internship 2027,Millennium Management,millennium-management,https://campusjobs.mlp.com/careers/job/755954628829?microsite=campus-site,Hong Kong,Buy-Side,2026-02-27,2026-05-27,Unknown,False,True,False,"Millennium Management is a global multi-manager hedge fund founded in 1989, operating a platform of independent investment teams across asset classes and geographies. Headquartered in New York, the firm manages over $60 billion in assets and allocates capital to hundreds of portfolio managers running diverse, often uncorrelated strategies. Millennium is known for its robust risk management, proprietary infrastructure, and intense focus on performance and discipline. The firm operates offices across the US, Europe, and Asia, and competes with other multi-manager funds such as Citadel and Point72. With a highly selective hiring process and rigorous oversight model, Millennium continues to be one of the most sought-after and closely watched firms in the hedge fund industry.",
2027 Summer Analyst,Goldman Sachs,goldman-sachs,https://higher.gs.com/campus?EXPERIENCE_LEVEL=Summer+Analyst&LOCATION=Hong+Kong&page=1&sort=POSTED_DATE&utm_source=Trackr&utm_medium=tracker&utm_campaign=Hong_Kong_Finance_2027,Hong Kong,Bulge Bracket,2026-07-01,,Unknown,False,True,False,"Goldman Sachs is one of the world’s most prestigious investment banks and financial institutions, offering a wide range of services in investment banking, asset management, global markets, consumer banking, and wealth management. Founded in 1869 and headquartered in New York, the firm serves corporations, financial institutions, governments, and individuals globally. Goldman is widely regarded for its M&A advisory, equity and debt underwriting, and institutional trading, and has been involved in many of the largest and most complex financial transactions in history. It also operates Marcus, its consumer banking platform, and has expanded into transaction banking and alternative investments. Known for its elite talent, risk culture, and thought leadership, Goldman Sachs is also increasingly focused on sustainability, digital finance, and private capital markets. It plays a key role in shaping financial innovation and global capital flows.",
2027 Summer Analyst,J.P. Morgan,j-p-morgan,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/jobs?keyword=%22summer+analyst%22&location=Hong+Kong&locationId=300000000289330&locationLevel=country&mode=location&utm_source=Trackr&utm_medium=tracker&utm_campaign=HK_Finance_2027&iis=Trackr&sType=Trackr,Hong Kong,Bulge Bracket,2026-06-01,2026-09-30,Unknown,True,True,False,"J.P. Morgan is the investment banking and wealth management arm of JPMorgan Chase & Co., one of the largest and most influential financial institutions globally. Headquartered in New York, the firm offers services across investment banking, commercial banking, asset and wealth management, and treasury and securities services. It is a market leader in M&A advisory, capital markets, trading, and research, serving corporate clients, financial sponsors, and governments worldwide. J.P. Morgan has a long history of innovation in financial services and is known for its global reach, balance sheet strength, and ability to execute complex, cross-border transactions. The firm plays a central role in capital allocation across public and private markets and continues to invest heavily in technology, digital banking, and sustainability initiatives. With a strong presence in London and across EMEA, it is a key player in European finance as well as global capital markets.",
2027 Summer Internship,Point72,point72,https://job-boards.greenhouse.io/point72/jobs/8491055002?utm_source=Trackr&utm_medium=tracker&utm_campaign=HK_Finance_2027&gh_src=Trackr,Hong Kong,Buy-Side,2026-06-15,,Unknown,False,True,False,"Point72 is a global asset management firm founded by Steven A. Cohen in 2014, following the transition from SAC Capital. Headquartered in Stamford, Connecticut, the firm manages capital across multiple strategies including long/short equity, macro, systematic, and private investments. Its discretionary investing teams operate with autonomy within a multi-manager platform, while its Cubist division focuses on quantitative and algorithmic trading. Point72 also runs a venture capital arm, Point72 Ventures, investing in fintech, healthcare, and enterprise technology. With offices in major financial centres including New York, London, Tokyo, and Singapore, the firm is known for its strong emphasis on data, technology, and talent development, particularly through its structured analyst training programs like the Point72 Academy.",
2027 Summer Analyst Program,Morgan Stanley,morgan-stanley,https://morganstanley.tal.net/vx/lang-en-GB/mobile-0/brand-2/user-5764832/xf-27ae6f5d3480/candidate/jobboard/vacancy/1/adv/?f_Item_Opportunity_17058_lk=133366&f_Item_Opportunity_17048_lk=770&utm_source=Trackr&utm_medium=tracker&utm_campaign=Hong_Kong_Finance_2027,Hong Kong,Bulge Bracket,2026-06-30,,Unknown,False,True,True,"Morgan Stanley is a global financial services firm headquartered in New York, offering investment banking, wealth management, institutional securities, and asset management services. With a strong presence in both the US and international markets, the firm advises clients on mergers and acquisitions, IPOs, debt and equity financing, and strategic investments. Its institutional arm is active in trading, research, and capital markets, while its wealth management division, bolstered by the acquisition of E*TRADE, serves millions of clients globally. Morgan Stanley is widely regarded for its advisory work with corporates and financial sponsors, and it continues to invest in digital platforms, sustainability, and global expansion to maintain its position as one of the world’s top financial institutions.",
