Name,Company,Company ID,Offer URL,Region,Categories,Opening Date,Closing Date,Stage,Rolling,Needs CV,Needs Cover Letter,Company Description,Notes
Quantitative Trader/Researcher Internship,Jane Street,jane-street,https://www.janestreet.com/join-jane-street/open-roles/?type=internship&location=hong-kong&department=trading-research-and-machine-learning&utm_source=Trackr&utm_medium=tracker&utm_campaign=HK_Finance_2027,Hong Kong,2026 Q4 Start,2026-06-02,,Unknown,False,True,False,"Jane Street is a global proprietary trading firm and liquidity provider known for its expertise in quantitative trading, technology development, and financial engineering. Headquartered in New York with offices in London, Hong Kong, and Amsterdam, the firm trades a wide array of asset classes—including equities, ETFs, options, fixed income, and crypto—across both traditional and electronic markets. Jane Street combines rigorous mathematical research with cutting-edge software development, operating in a highly collaborative, flat organisational structure. It is a major player in ETF market making and provides liquidity to markets around the clock, contributing to efficiency and price discovery. The firm is known for its analytical culture, competitive hiring process, and deep investment in proprietary systems and infrastructure. Jane Street remains privately held and low-profile, but plays an outsized role in global financial markets, particularly in electronic and algorithmic trading.",
Intern - Fixed Income,PineBridge Investments,pinebridge-investments,https://pinebridge.wd5.myworkdayjobs.com/en-US/PineBridge_Career_Site/job/Intern---Fixed-Income_R-02064?utm_source=Trackr&utm_medium=tracker&utm_campaign=Hong_Kong_Finance_2027&source=Trackr,Hong Kong,Unspecified Start,2026-07-24,,Unknown,False,True,False,"PineBridge Investments is a global asset manager providing investment solutions in equities, fixed income, and alternatives. Headquartered in New York and founded in 2010 as a spin-out from AIG, the firm serves institutional and intermediary clients worldwide. It focuses on high conviction, active management strategies driven by fundamental research and long term analytical insights. PineBridge leverages its multi asset expertise and global footprint to navigate diverse market cycles while seeking to deliver consistent risk adjusted returns for its investors.",
"Intern, Business Relationship Management - ESG",Fitch Ratings,fitch-ratings,https://careers.fitch.group/job/Central-Intern%2C-Business-Relationship-Management-ESG%2C-Hong-Kong-%286-months-contract%2C-5-days-work%29/1415293333?utm_source=Trackr&utm_medium=tracker&utm_campaign=Hong_Kong_Finance_2027,Hong Kong,Unspecified Start,2026-07-15,,Unknown,False,True,False,"Fitch Ratings is one of the world’s leading credit rating agencies, providing risk assessments for sovereigns, corporates, financial institutions, structured finance products, and infrastructure projects. Headquartered in New York and London, it is part of Fitch Group, a subsidiary of Hearst. Fitch plays a critical role in global capital markets by helping investors evaluate the creditworthiness of issuers and debt instruments. Its ratings and research are widely used in risk models, regulatory frameworks, and fixed income strategies. The agency is known for its methodical approach to credit analysis and for providing more flexible rating frameworks compared to its larger peers. It also invests heavily in analytics platforms and ESG scoring, aiming to increase transparency and broaden investor tools in an evolving financial landscape.",
"Intern, Transaction Services Hong Kong",ING,ing,https://ing.wd3.myworkdayjobs.com/en-US/jvsgblcor/job/Intern--Transaction-Services_REQ-10104277-1?utm_source=Trackr&utm_medium=tracker&utm_campaign=HK_Finance_2027&source=Trackr,Hong Kong,2026 Q3 Start,2026-05-19,2026-06-30,Unknown,False,True,False,"ING is a Dutch multinational banking group offering retail, commercial, and investment banking services to individuals, SMEs, corporates, and institutions globally. Headquartered in Amsterdam, ING operates across Europe, the Americas, and Asia, and is one of the largest banks in the Eurozone by market capitalisation. It is particularly well known for its digital banking capabilities, innovative customer platforms, and focus on cost-efficient service delivery. ING serves clients across lending, transaction services, structured finance, and capital markets, and maintains strong franchises in areas like sustainable finance, trade finance, and infrastructure lending. The bank has committed to aligning its portfolio with the goals of the Paris Agreement and is a founding member of the Net-Zero Banking Alliance. With a strong brand in retail banking and a growing institutional business, ING continues to evolve as a technology-driven and sustainability-focused financial institution.",
Equity Derivatives - Quantitative Researcher - Intern,Huatai International,huatai-international,https://htsc.wd102.myworkdayjobs.com/Huatai_Careers/job/Hong-Kong/Equity-Derivatives---Quantitative-Researcher---Intern_?source=Trackr&utm_source=Trackr&utm_medium=tracker&utm_campaign=Hong_Kong_Finance_2027,Hong Kong,Unspecified Start,2026-08-12,,Unknown,False,True,False,"Huatai International is the offshore platform of Huatai Securities, a leading technology driven securities group based in China. Headquartered in Hong Kong, the firm provides a comprehensive range of financial services including investment banking, wealth management, asset management, and institutional equities. It serves as a vital bridge between Chinese capital and international markets by leveraging the parent company's extensive domestic network and robust research capabilities. The firm focuses on delivering integrated cross border solutions to corporate, institutional, and high net worth clients across the global financial landscape.",
2027 Transaction Finance Off cycle Intern (January to June),Blackstone,blackstone,https://blackstone.wd1.myworkdayjobs.com/en-US/Blackstone_Campus_Careers/job/XMLNAME-2027-Transaction-Finance-Off-cycle-Intern--January-to-June--Hong-Kong_44171?utm_source=Trackr&utm_medium=tracker&utm_campaign=Hong_Kong_Finance_2027&source=Trackr,Hong Kong,2027 Q1 Start,2026-07-27,,Unknown,False,True,False,"Blackstone is one of the world’s leading investment firms, specialising in private equity, real estate, credit, and infrastructure. Founded in 1985 and based in New York, the firm manages capital on behalf of pension funds, sovereign wealth funds, and individual investors. Blackstone is known for its scale, global reach, and ability to take large, complex positions across industries. It combines deep operational support with financial engineering and has a track record of building value in both private and public market investments.",
2027 Off-Cycle Internship - Global Banking,UBS,ubs,https://jobs.ubs.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25008&siteid=5131&PageType=JobDetails&jobid=348162&utm_source=Trackr&utm_medium=tracker&utm_campaign=Hong_Kong_Finance_2027#jobDetails=348162_5131,Hong Kong,2027 Q1 Start,2026-07-03,2026-08-03,Unknown,False,True,False,"UBS is a global financial services firm headquartered in Zurich, offering wealth management, investment banking, asset management, and retail banking. With a particularly strong presence in global wealth management, UBS serves high-net-worth and institutional clients across Europe, the Americas, and Asia-Pacific. The firm also operates a sizeable investment banking division and is active in advisory, capital markets, and equities trading. UBS has placed increased emphasis on sustainable investing, digital innovation, and its integrated client model following its 2023 acquisition of Credit Suisse, reshaping the landscape of European banking.",
"Corporate Access, Off-cycle Internship (6-months)",Point72,point72,https://job-boards.greenhouse.io/point72/jobs/8603979002?gh_jid=8603979002&utm_source=Trackr&utm_medium=tracker&utm_campaign=Hong_Kong_Finance_2027&gh_src=Trackr,Hong Kong,Unspecified Start,2026-06-30,,Unknown,False,True,False,"Point72 is a global asset management firm founded by Steven A. Cohen in 2014, following the transition from SAC Capital. Headquartered in Stamford, Connecticut, the firm manages capital across multiple strategies including long/short equity, macro, systematic, and private investments. Its discretionary investing teams operate with autonomy within a multi-manager platform, while its Cubist division focuses on quantitative and algorithmic trading. Point72 also runs a venture capital arm, Point72 Ventures, investing in fintech, healthcare, and enterprise technology. With offices in major financial centres including New York, London, Tokyo, and Singapore, the firm is known for its strong emphasis on data, technology, and talent development, particularly through its structured analyst training programs like the Point72 Academy.",Requires Japanese fluency
Intern - Equities Fundamental,PineBridge Investments,pinebridge-investments,https://pinebridge.wd5.myworkdayjobs.com/en-US/PineBridge_Career_Site/job/Intern---Equities-Fundamental_R-02065?utm_source=Trackr&utm_medium=tracker&utm_campaign=Hong_Kong_Finance_2027&source=Trackr,Hong Kong,2026 Q3 Start,2026-07-27,,Unknown,False,True,False,"PineBridge Investments is a global asset manager providing investment solutions in equities, fixed income, and alternatives. Headquartered in New York and founded in 2010 as a spin-out from AIG, the firm serves institutional and intermediary clients worldwide. It focuses on high conviction, active management strategies driven by fundamental research and long term analytical insights. PineBridge leverages its multi asset expertise and global footprint to navigate diverse market cycles while seeking to deliver consistent risk adjusted returns for its investors.",
"Intern, Transaction Services Hong Kong",ING,ing,https://ing.wd3.myworkdayjobs.com/en-US/jvsgblcor/job/Intern--Transaction-Services_REQ-10104277-1?utm_source=Trackr&utm_medium=tracker&utm_campaign=Hong_Kong_Finance_2027&source=Trackr,Hong Kong,2026 Q3 Start,2026-08-04,2026-08-18,Unknown,False,True,False,"ING is a Dutch multinational banking group offering retail, commercial, and investment banking services to individuals, SMEs, corporates, and institutions globally. Headquartered in Amsterdam, ING operates across Europe, the Americas, and Asia, and is one of the largest banks in the Eurozone by market capitalisation. It is particularly well known for its digital banking capabilities, innovative customer platforms, and focus on cost-efficient service delivery. ING serves clients across lending, transaction services, structured finance, and capital markets, and maintains strong franchises in areas like sustainable finance, trade finance, and infrastructure lending. The bank has committed to aligning its portfolio with the goals of the Paris Agreement and is a founding member of the Net-Zero Banking Alliance. With a strong brand in retail banking and a growing institutional business, ING continues to evolve as a technology-driven and sustainability-focused financial institution.",
Quantitative Researcher - Intern,Point72,point72,https://job-boards.greenhouse.io/point72/jobs/7297657002?gh_jid=7297657002&utm_source=Trackr&utm_medium=tracker&utm_campaign=HK_Finance_2027&gh_src=Trackr,Hong Kong,Unspecified Start,2026-04-01,,Unknown,False,True,False,"Point72 is a global asset management firm founded by Steven A. Cohen in 2014, following the transition from SAC Capital. Headquartered in Stamford, Connecticut, the firm manages capital across multiple strategies including long/short equity, macro, systematic, and private investments. Its discretionary investing teams operate with autonomy within a multi-manager platform, while its Cubist division focuses on quantitative and algorithmic trading. Point72 also runs a venture capital arm, Point72 Ventures, investing in fintech, healthcare, and enterprise technology. With offices in major financial centres including New York, London, Tokyo, and Singapore, the firm is known for its strong emphasis on data, technology, and talent development, particularly through its structured analyst training programs like the Point72 Academy.",
"2027 Off-Cycle Internship - Global Wealth Management, COO",UBS,ubs,https://jobs.ubs.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25008&siteid=5131&PageType=JobDetails&jobid=347369&utm_source=Trackr&utm_medium=tracker&utm_campaign=Hong_Kong_Finance_2027#jobDetails=347369_5131,Hong Kong,2027 Q1 Start,2026-07-03,2026-08-03,Unknown,False,True,False,"UBS is a global financial services firm headquartered in Zurich, offering wealth management, investment banking, asset management, and retail banking. With a particularly strong presence in global wealth management, UBS serves high-net-worth and institutional clients across Europe, the Americas, and Asia-Pacific. The firm also operates a sizeable investment banking division and is active in advisory, capital markets, and equities trading. UBS has placed increased emphasis on sustainable investing, digital innovation, and its integrated client model following its 2023 acquisition of Credit Suisse, reshaping the landscape of European banking.",
Youth Placement Programme - Global Markets,Hang Seng Bank,hang-seng-bank,https://portal.careers.hsbc.com/careers/job/563774610764296?utm_source=Trackr&utm_medium=tracker&utm_campaign=HK_Finance_2027,Hong Kong,2026 Q3 Start,2026-04-23,2026-06-30,Unknown,False,True,False,"Hang Seng Bank is a prominent financial institution based in Hong Kong, offering a comprehensive range of retail banking, wealth management, and corporate banking services. Founded in 1933, it operates as a principal subsidiary of the HSBC Group and maintains a significant presence across Greater China. The bank is recognized for its strong local market expertise, extensive branch network, and digital banking capabilities. It focuses on serving individual customers and small to medium sized enterprises while providing institutional clients with sophisticated financial solutions.",
"Off-Cycle Intern, Financial and Valuation Advisory (Hong Kong)",Houlihan Lokey,houlihan-lokey,https://hl.wd1.myworkdayjobs.com/en-US/Campus/job/Off-Cycle-Intern--Financial-and-Valuation-Advisory--Hong-Kong-_R3096?utm_source=Trackr&utm_medium=tracker&utm_campaign=Hong_Kong_Finance_2027&source=Trackr,Hong Kong,Unspecified Start,2026-07-15,,Unknown,False,True,False,"Houlihan Lokey is a global investment bank headquartered in Los Angeles, specialising in M&A advisory, capital markets, financial restructuring, and valuation services. The firm is widely recognised for its leading role in middle-market transactions and has consistently ranked as the top global M&A advisor by volume. In restructuring, Houlihan Lokey is a dominant player, often advising both creditors and debtors on high-profile bankruptcies and distressed situations. It also has one of the largest dedicated financial valuation teams globally, supporting litigation, tax, and financial reporting mandates. With offices across North America, Europe, the Middle East, and Asia-Pacific, the firm serves public and private companies, financial sponsors, and government entities. Houlihan Lokey’s sector coverage spans consumer, healthcare, tech, energy, and industrials, and it is particularly known for its rigorous analytics, high-touch advisory model, and long-term client relationships.",
"Intern, Investment Consulting (6 Months)",Mercer,mercer,https://careers.marsh.com/global/en/job/R_351347/interninvestmentconsulting(6months)?src=Trackr&utm_source=Trackr&utm_medium=tracker&utm_campaign=HK_Finance_2027,Hong Kong,Unspecified Start,2026-05-20,2026-07-13,Unknown,False,True,False,"Mercer is a global consulting firm specialising in health, wealth, and career services, advising employers, pension schemes, and institutions on human capital strategy and financial risk. A subsidiary of Marsh McLennan, Mercer operates in more than 40 countries and provides services in areas such as retirement planning, investment consulting, workforce transformation, and employee benefits. It is one of the world’s largest investment advisers by assets under advisement and plays a major role in ESG integration, manager research, and portfolio construction. Mercer also advises organisations on health and wellbeing programmes, compensation design, and diversity and inclusion strategies. Its multidisciplinary model blends data, actuarial insight, and strategic consulting to help clients manage workforce and financial outcomes.",
"Analyst Intern (6-months), Private Equity Asia",Manulife,manulife,https://careers.manulife.com/global/en/job/MFZMFIUSJR26031215EXTERNALENGLOBAL/Analyst-Intern-6-months-Private-Equity-Asia-Sept-2026-Intake?utm_source=Trackr&utm_medium=tracker&utm_campaign=Hong_Kong_Finance_2027,Hong Kong,2026 Q3 Start,2026-08-03,,Unknown,False,True,False,"Manulife is a global financial services company offering insurance, wealth management, and investment solutions to individuals, groups, and institutions. Headquartered in Toronto, Canada, Manulife operates in Asia, Canada, and the United States, primarily through John Hancock. The company provides a wide range of products, including life insurance, retirement plans, and asset management services. Manulife focuses on helping customers achieve their financial goals through comprehensive financial planning and diverse investment options, emphasizing long-term value creation and sustainable growth.
",September 2026 start
Quantitative Analytics Associate Off Cycle Internship 2027,Barclays,barclays,https://barclays.wd3.myworkdayjobs.com/en-US/External_Career_Site_Barclays/jobs/details/Quantitative-Analytics-Associate-Off-Cycle-Internship-2027-Hong-Kong_JR-0000117565?q=%22off-cycle%22&locations=112c054282011001637824970f090000&utm_source=Trackr&utm_medium=tracker&utm_campaign=Hong_Kong_Finance_2027&source=Trackr,Hong Kong,2027 Q2 Start,2026-07-01,2026-12-01,Unknown,False,True,False,"Barclays is a British multinational bank offering retail, corporate, and investment banking services across the UK and globally. With roots dating back to 1690, it has played a central role in the evolution of modern banking. Headquartered in London, the firm is a major player in global capital markets, advising on M&A, underwriting debt and equity, and providing financing solutions. Its retail and commercial divisions serve millions of customers, while its investment bank operates across Europe, the Americas, Asia, and the Middle East.",
